Codi_Districte,Nom_Districte,Nom_Carrer,title,size,price,Vigilancia,Columnas,Tipo plaza,Puerta,Planta,Ciudad,Personas,Promedio_Euros,Vehicles
6,Gràcia,Gomis,"Garaje en calle Gomis, Vallcarca i els Penitents, Barcelona",10 m²,19.000 €,No,None,None,automática,None," Barcelona",121915,18340.7471264368,57643
6,Gràcia,Bda Gomis,"Garaje en calle Gomis, Vallcarca i els Penitents, Barcelona",10 m²,19.000 €,No,None,None,automática,None," Barcelona",121915,18340.7471264368,57643
6,Gràcia,Ptge Gomis,"Garaje en calle Gomis, Vallcarca i els Penitents, Barcelona",10 m²,19.000 €,No,None,None,automática,None," Barcelona",121915,18340.7471264368,57643
4,Les Corts,Sants,"Garaje en Sants, Barcelona",10 m²,16.000 €,No,None,None,None,planta -2," Barcelona",81074,22022.0350877193,48622
7,Horta-Guinardó,M Sants Oliver,"Garaje en Sants, Barcelona",10 m²,16.000 €,No,None,None,None,planta -2," Barcelona",172109,15152.3170731707,80895
3,Sants-Montjuïc,Pl Sants,"Garaje en Sants, Barcelona",10 m²,16.000 €,No,None,None,None,planta -2," Barcelona",183770,14625.3931623932,79559
5,Sarrià-Sant Gervasi,Av Tots Sants,"Garaje en Sants, Barcelona",10 m²,16.000 €,No,None,None,None,planta -2," Barcelona",148201,25606.7755102041,102272
3,Sants-Montjuïc,Sants,"Garaje en Sants, Barcelona",10 m²,16.000 €,No,None,None,None,planta -2," Barcelona",183770,14625.3931623932,79559
4,Les Corts,Sants,"Garaje en Sants, Barcelona",12 m²,18.000 €,No,None,grande,None,planta -2," Barcelona",81074,22022.0350877193,48622
7,Horta-Guinardó,M Sants Oliver,"Garaje en Sants, Barcelona",12 m²,18.000 €,No,None,grande,None,planta -2," Barcelona",172109,15152.3170731707,80895
3,Sants-Montjuïc,Pl Sants,"Garaje en Sants, Barcelona",12 m²,18.000 €,No,None,grande,None,planta -2," Barcelona",183770,14625.3931623932,79559
5,Sarrià-Sant Gervasi,Av Tots Sants,"Garaje en Sants, Barcelona",12 m²,18.000 €,No,None,grande,None,planta -2," Barcelona",148201,25606.7755102041,102272
3,Sants-Montjuïc,Sants,"Garaje en Sants, Barcelona",12 m²,18.000 €,No,None,grande,None,planta -2," Barcelona",183770,14625.3931623932,79559
