"SECCIO_CENSAL","HOMES","DONES","EDAT_0_A_14","EDAT_15_A_24","EDAT_25_A_64","EDAT_65_A_MES","NACIONALS","COMUNITARIS","ESTRANGERS","DATA_DADES"
"03103","515","627","125","73","584","360","1004","38","100","07-05-2023 10:00:04"
"03104","696","781","149","115","961","252","1069","112","296","07-05-2023 10:00:04"
"03105","565","638","128","111","746","218","866","87","250","07-05-2023 10:00:04"
"03106","612","677","127","123","837","202","940","117","232","07-05-2023 10:00:04"
"03107","845","889","174","214","974","372","1263","96","375","07-05-2023 10:00:04"
"03108","755","845","200","144","961","295","1251","78","271","07-05-2023 10:00:04"
"03109","736","807","180","128","961","274","1225","97","221","07-05-2023 10:00:04"
"03110","683","793","144","113","915","304","1162","112","202","07-05-2023 10:00:04"
"03111","585","713","147","107","790","254","1033","75","190","07-05-2023 10:00:04"
"03112","879","1028","213","142","1085","467","1525","96","286","07-05-2023 10:00:04"
"03113","740","829","168","141","839","421","1277","98","194","07-05-2023 10:00:04"
"03114","690","796","138","136","801","411","1212","81","193","07-05-2023 10:00:04"
"03211","742","785","151","199","915","262","1279","27","221","07-05-2023 10:00:04"
"03212","1171","1317","273","238","1338","639","1857","96","535","07-05-2023 10:00:04"
"03213","1142","1222","272","273","1413","406","1730","88","546","07-05-2023 10:00:04"
"04001","620","658","159","104","734","281","976","75","227","07-05-2023 10:00:04"
"04002","914","1000","219","181","999","515","1636","92","186","07-05-2023 10:00:04"
"04003","507","549","102","85","553","316","903","35","118","07-05-2023 10:00:04"
"04004","511","531","104","76","592","270","869","37","136","07-05-2023 10:00:04"
"04005","568","646","122","109","644","339","1043","56","115","07-05-2023 10:00:04"
"04006","534","614","136","87","609","316","962","50","136","07-05-2023 10:00:04"
"04007","457","594","103","74","549","325","883","44","124","07-05-2023 10:00:04"
"04008","468","538","104","77","572","253","802","45","159","07-05-2023 10:00:04"
"04009","685","789","162","108","851","353","1183","75","216","07-05-2023 10:00:04"
"04010","406","503","112","96","454","247","789","29","91","07-05-2023 10:00:04"
"04011","802","934","227","161","791","557","1517","68","151","07-05-2023 10:00:04"
"04012","624","710","129","88","687","430","1183","38","113","07-05-2023 10:00:04"
"04013","560","649","114","117","627","351","1043","49","117","07-05-2023 10:00:04"
"04014","361","437","85","76","385","252","672","32","94","07-05-2023 10:00:04"
"04015","864","1035","201","158","1067","473","1600","86","213","07-05-2023 10:00:04"
"04016","506","580","116","78","575","317","924","44","118","07-05-2023 10:00:04"
"04017","526","648","155","86","590","343","995","70","109","07-05-2023 10:00:04"
"04018","674","836","156","170","777","407","1275","84","151","07-05-2023 10:00:04"
"04019","670","742","167","186","721","338","1186","73","153","07-05-2023 10:00:04"
"04020","690","796","194","171","758","363","1283","71","132","07-05-2023 10:00:04"
"04021","596","724","163","126","690","341","1096","74","150","07-05-2023 10:00:04"
"04022","816","872","163","208","915","402","1262","100","326","07-05-2023 10:00:04"
"04023","522","568","147","138","521","284","910","42","138","07-05-2023 10:00:04"
"04024","475","553","133","109","464","322","946","22","60","07-05-2023 10:00:04"
"04025","534","632","143","121","645","257","1030","63","73","07-05-2023 10:00:04"
"04026","580","659","150","89","667","333","1043","71","125","07-05-2023 10:00:04"
"04027","608","710","177","115","751","275","1015","100","203","07-05-2023 10:00:04"
